cds_data/data_100000_20_15_u_10_ppgeh.txt
copyDataFile complete
cds_query/query_100000_20_15_u_10_ppgeh.txt
copyQueryFile complete
make complete
29843 : 1.83112   : 0.618908  >> 0.618908
98837 : 1.81935   : 0.572999  >> 0.572999
80751 : 1.80297   : 0.507586  >> 0.507586
24301 : 1.7932   : 0.683692  >> 0.683692
1858 : 1.78901   : 0.552758  >> 0.552758
62948 : 1.76601   : 0.647704  >> 0.647704
92523 : 1.76165   : 0.652965  >> 0.652965
__________________
52321 : 1.63696   : 0.766973  >> 0.766973
29843 : 1.63143   : 0.778774  >> 0.778774
48879 : 1.63086   : 0.622584  >> 0.622584
98208 : 1.62527   : 0.748937  >> 0.748937
98837 : 1.6066   : 0.775846  >> 0.775846
80751 : 1.6032   : 0.788956  >> 0.788956
24301 : 1.58105   : 0.909781  >> 0.909781
1858 : 1.57889   : 0.772916  >> 0.772916
92523 : 1.56261   : 0.953802  >> 0.953802
62948 : 1.55866   : 0.813142  >> 0.813142
__________________
86840 : 1.83051   : 0.562953  >> 0.562953
48879 : 1.82994   : 0.486956  >> 0.486956
98208 : 1.82698   : 0.622587  >> 0.622587
29843 : 1.82409   : 0.661632  >> 0.661632
98837 : 1.80976   : 0.618905  >> 0.618905
1858 : 1.79444   : 0.604004  >> 0.604004
80751 : 1.79209   : 0.613352  >> 0.613352
24301 : 1.78613   : 0.74436  >> 0.74436
92523 : 1.75656   : 0.79471  >> 0.79471
62948 : 1.75185   : 0.637047  >> 0.637047
__________________
52321 : 1.63699   : 0.807522  >> 0.807522
29843 : 1.63448   : 0.821519  >> 0.821519
98208 : 1.62768   : 0.799019  >> 0.799019
48879 : 1.62519   : 0.698527  >> 0.698527
98837 : 1.6114   : 0.810348  >> 0.810348
80751 : 1.59049   : 0.765489  >> 0.765489
24301 : 1.59033   : 0.912284  >> 0.912284
1858 : 1.58594   : 0.78463  >> 0.78463
92523 : 1.57596   : 0.934483  >> 0.934483
62948 : 1.53602   : 0.824286  >> 0.824286
__________________
52321 : 1.85613   : 0.658184  >> 0.658184
48879 : 1.85422   : 0.556859  >> 0.556859
98208 : 1.85163   : 0.668508  >> 0.668508
29843 : 1.84863   : 0.721008  >> 0.721008
98837 : 1.82606   : 0.658192  >> 0.658192
80751 : 1.81844   : 0.659914  >> 0.659914
1858 : 1.8017   : 0.691981  >> 0.691981
24301 : 1.79632   : 0.803305  >> 0.803305
62948 : 1.7741   : 0.721001  >> 0.721001
92523 : 1.7698   : 0.844782  >> 0.844782
__________________
29843 : 1.81211   : 0.832549  >> 0.832549
48879 : 1.80928   : 0.708255  >> 0.708255
52321 : 1.80752   : 0.80186  >> 0.80186
98208 : 1.79444   : 0.813162  >> 0.813162
98837 : 1.78287   : 0.810353  >> 0.810353
80751 : 1.77352   : 0.800435  >> 0.800435
1858 : 1.75932   : 0.835305  >> 0.835305
24301 : 1.75723   : 0.949038  >> 0.949038
92523 : 1.73896   : 0.960951  >> 0.960951
62948 : 1.72026   : 0.815945  >> 0.815945
__________________
48879 : 1.99302   : 0.52525  >> 0.52525
98208 : 1.99071   : 0.642411  >> 0.642411
52321 : 1.9848   : 0.582853  >> 0.582853
29843 : 1.9828   : 0.642401  >> 0.642401
98837 : 1.96367   : 0.582857  >> 0.582857
1858 : 1.95176   : 0.60589  >> 0.60589
80751 : 1.95107   : 0.61149  >> 0.61149
24301 : 1.93793   : 0.730447  >> 0.730447
62948 : 1.91207   : 0.605863  >> 0.605863
92523 : 1.90949   : 0.769936  >> 0.769936
__________________
